variable1,variable2,correlation
avg_sh4,avg_sh4,1
avg_sh4,avg_sh7,0.6332221084734507
avg_sh4,avg_vw1,-0.35023823923731856
avg_sh4,avg_vw31,-0.5451139791249379
avg_sh4,avg_vw35,-0.46905104181632196
avg_sh4,avg_vw_sub1,0.22561489288402037
avg_sh7,avg_sh4,0.6332221084734507
avg_sh7,avg_sh7,1
avg_sh7,avg_vw1,0.0359701173086182
avg_sh7,avg_vw31,-0.47618804499659545
avg_sh7,avg_vw35,-0.5576976386684258
avg_sh7,avg_vw_sub1,0.40405661254834885
avg_vw1,avg_sh4,-0.35023823923731856
avg_vw1,avg_sh7,0.0359701173086182
avg_vw1,avg_vw1,1
avg_vw1,avg_vw31,0.04402537022203809
avg_vw1,avg_vw35,-0.03526793222433836
avg_vw1,avg_vw_sub1,-0.38566739510126735
avg_vw31,avg_sh4,-0.5451139791249379
avg_vw31,avg_sh7,-0.47618804499659545
avg_vw31,avg_vw1,0.04402537022203809
avg_vw31,avg_vw31,1
avg_vw31,avg_vw35,0.8692370093640397
avg_vw31,avg_vw_sub1,0.3799602141339221
avg_vw35,avg_sh4,-0.46905104181632196
avg_vw35,avg_sh7,-0.5576976386684258
avg_vw35,avg_vw1,-0.03526793222433836
avg_vw35,avg_vw31,0.8692370093640397
avg_vw35,avg_vw35,1
avg_vw35,avg_vw_sub1,0.34004866450802534
avg_vw_sub1,avg_sh4,0.22561489288402037
avg_vw_sub1,avg_sh7,0.40405661254834885
avg_vw_sub1,avg_vw1,-0.38566739510126735
avg_vw_sub1,avg_vw31,0.3799602141339221
avg_vw_sub1,avg_vw35,0.34004866450802534
avg_vw_sub1,avg_vw_sub1,1
