quint,saving_method,percentage,quintile_label
1,Bank,1.5115225476224277,Poorest
1,Ewallet,0.24899345141010162,Poorest
1,Cash,3.9006452618464666,Poorest
1,Group,2.2053499542769237,Poorest
1,Other,0.33536636111414014,Poorest
2,Bank,3.5510177667576075,2
2,Ewallet,0.19411661813655126,2
2,Cash,5.786841417592536,2
2,Group,4.589444422266889,2
2,Other,0.42558681844527096,2
3,Bank,3.6009244416974386,3
3,Ewallet,0.04110727787145861,3
3,Cash,9.574734426407952,3
3,Group,5.775027162710503,3
3,Other,0.7655009579633255,3
4,Bank,9.8778057446689,4
4,Ewallet,0.6969594147069799,4
4,Cash,8.537414354344824,4
4,Group,4.338809441623439,4
4,Other,1.0181718704158231,4
5,Bank,20.335697325362162,Richest
5,Ewallet,0.5875616678767964,Richest
5,Cash,10.627058597787745,Richest
5,Group,5.744010979586102,Richest
5,Other,1.3852923901275662,Richest
NA,Bank,0,NA
NA,Ewallet,0,NA
NA,Cash,0,NA
NA,Group,0,NA
NA,Other,0,NA
