date,loss_grp,weighted_count,n_obs,percentage
2024-03-01,More than 0 to 100K,38124.45703125,1,0.4437900080626388
2024-03-01,More than 1 Juta to 10 Juta,489072.7097167969,7,5.6930799463065185
2024-03-01,More than 10 Juta,198553.54150390625,3,2.3112743012354704
2024-03-01,More than 100K to 1 Juta,686755.83642578125,11,7.9942221323871525
2024-03-01,None,7178145.8671875,43,83.55763361200822
2024-04-01,More than 0 to 100K,1743866.69140625,4,18.61659584952211
2024-04-01,More than 1 Juta to 10 Juta,888633.181640625,4,9.486576515626885
2024-04-01,More than 100K to 1 Juta,3314265.7265625,6,35.38134300826734
2024-04-01,None,3420503.8276367188,16,36.515484626583664
2024-05-01,More than 0 to 100K,111260.29711914063,3,4.185137753439004
2024-05-01,More than 1 Juta to 10 Juta,622089.92578125,5,23.400369240729624
2024-05-01,More than 100K to 1 Juta,1170035.9140625,7,44.01175984258692
2024-05-01,None,755075.8701171875,12,28.402733163244452
2024-06-01,More than 1 Juta to 10 Juta,365734.0302734375,5,6.811875483418721
2024-06-01,More than 10 Juta,56674.91015625,1,1.055582469943205
2024-06-01,More than 100K to 1 Juta,213819.21875,4,3.9824292341566467
2024-06-01,None,4732836.9560546875,18,88.15011281248142
2024-07-01,More than 0 to 100K,95300.353515625,2,3.920795013098239
2024-07-01,More than 1 Juta to 10 Juta,363752.5244140625,4,14.965307379376288
2024-07-01,More than 100K to 1 Juta,592974.6220703125,5,24.395837531976305
2024-07-01,None,1378611.0107421875,14,56.71806007554917
2024-08-01,More than 100K to 1 Juta,316617.466796875,4,13.195799015414106
2024-08-01,None,2082763.32421875,16,86.8042009845859
2024-09-01,More than 1 Juta to 10 Juta,90352.8046875,1,3.8286279162072363
2024-09-01,More than 100K to 1 Juta,204942.47998046875,3,8.684273861600653
2024-09-01,None,2064631.212890625,7,87.4870982221921
2024-10-01,More than 1 Juta to 10 Juta,201897.046875,1,20.280935087232198
2024-10-01,More than 100K to 1 Juta,66396.125,2,6.669614647719226
2024-10-01,None,727208.4951171875,4,73.04945026504858
2024-11-01,More than 0 to 100K,157797.40625,1,5.155435720084543
2024-11-01,More than 1 Juta to 10 Juta,226784.1015625,2,7.409316070064323
2024-11-01,More than 100K to 1 Juta,681545.375,1,22.266927287554292
2024-11-01,None,1994669.814453125,10,65.16832092229684
2024-12-01,More than 0 to 100K,572957.453125,2,14.271295525696692
2024-12-01,More than 1 Juta to 10 Juta,436191.625,2,10.864715263335235
2024-12-01,More than 100K to 1 Juta,111924.9296875,2,2.7878400735536912
2024-12-01,None,2893680.30859375,10,72.07614913741438
2025-01-01,More than 0 to 100K,752797.15625,2,18.04059585728542
2025-01-01,More than 10 Juta,122364.1015625,1,2.9324251365739533
2025-01-01,More than 100K to 1 Juta,247325.94140625,2,5.927104422337954
2025-01-01,None,3050308.212890625,13,73.09987458380267
2025-02-01,More than 0 to 100K,470164.75,1,22.906167836405665
2025-02-01,More than 1 Juta to 10 Juta,218964.1328125,2,10.667812030476862
2025-02-01,More than 10 Juta,40752.05078125,1,1.985417483707656
2025-02-01,More than 100K to 1 Juta,654796.125,1,31.901306803366403
2025-02-01,None,667891.2861328125,7,32.53929584604342
2025-03-01,More than 100K to 1 Juta,1447946.984375,2,55.96611265862015
2025-03-01,None,1139238.216796875,5,44.033887341379845
2025-04-01,More than 0 to 100K,1068638.875,1,24.744420303829756
2025-04-01,More than 100K to 1 Juta,3042864.8671875,4,70.45778416159959
2025-04-01,None,207202.705078125,4,4.7977955345706524
2025-05-01,More than 0 to 100K,30332.115234375,1,1.4099145188625055
2025-05-01,More than 100K to 1 Juta,581163.390625,4,27.013965097460268
2025-05-01,None,1539848.765625,7,71.57612038367722
2025-06-01,More than 1 Juta to 10 Juta,72586.546875,1,2.7005754499090666
2025-06-01,More than 100K to 1 Juta,974269.892578125,5,36.2476170413917
2025-06-01,None,1640961.33203125,8,61.05180750869923
2025-07-01,More than 1 Juta to 10 Juta,17830.28125,1,0.5753614719421384
2025-07-01,More than 100K to 1 Juta,1632736.6484375,5,52.686424188562576
2025-07-01,None,1448403.390625,9,46.738214339495286
2025-08-01,More than 10 Juta,288650.21875,1,17.876310080453734
2025-08-01,More than 100K to 1 Juta,247567.93359375,2,15.332055406242628
2025-08-01,None,1078489.90234375,7,66.79163451330363
2025-09-01,More than 0 to 100K,12507.2646484375,1,0.5460255555058534
2025-09-01,More than 1 Juta to 10 Juta,172172.078125,1,7.516460012904963
2025-09-01,More than 100K to 1 Juta,1245266.5,2,54.36419165402996
2025-09-01,None,860654.7568359375,7,37.57332277755923
2025-10-01,More than 100K to 1 Juta,693099.09375,2,18.52424929534777
2025-10-01,None,3048478.13671875,6,81.47575070465223
