date,quint,econ_good,weighted_sum,proportion,quintile_label
2024-03-01,1,TRUE,30632600.419677734,0.6299536629008473,Poorest
2024-03-01,2,TRUE,34870364.49902344,0.6284077463121577,2
2024-03-01,3,TRUE,37356748.33618164,0.6700235342440807,3
2024-03-01,4,TRUE,37382089.84509277,0.682366246616181,4
2024-03-01,5,TRUE,42200042.3527832,0.7640705524189233,Richest
2024-04-01,1,TRUE,38895015.15258789,0.6996241589773585,Poorest
2024-04-01,2,TRUE,37421794.334472656,0.676376709760393,2
2024-04-01,3,TRUE,39898615.43261719,0.723449699886349,3
2024-04-01,4,TRUE,40892339.86328125,0.7396300660505332,4
2024-04-01,5,TRUE,46146545.61303711,0.835340230012353,Richest
2024-05-01,1,TRUE,37394124.43847656,0.6882288116647657,Poorest
2024-05-01,2,TRUE,42393046.15246582,0.7658066302880346,2
2024-05-01,3,TRUE,47308692.553222656,0.8495291696003782,3
2024-05-01,4,TRUE,40464723.86401367,0.7363498724376121,4
2024-05-01,5,TRUE,46305111.74121094,0.839438440421019,Richest
2024-06-01,1,TRUE,41152433.19873047,0.7430161914755276,Poorest
2024-06-01,2,TRUE,47251790.09667969,0.8543735470447015,2
2024-06-01,3,TRUE,41478221.47949219,0.7527231551895898,3
2024-06-01,4,TRUE,44058031.79589844,0.7957118948617925,4
2024-06-01,5,TRUE,46583734.349121094,0.8446461661342038,Richest
2024-07-01,1,TRUE,37515399.494262695,0.7032183961262137,Poorest
2024-07-01,2,TRUE,46522444.25683594,0.8358356541425372,2
2024-07-01,3,TRUE,42746547.525634766,0.7737067418219362,3
2024-07-01,4,TRUE,45238554.09667969,0.8146147394900881,4
2024-07-01,5,TRUE,47745539.8515625,0.8702651075821081,Richest
2024-08-01,1,TRUE,41711253.6159668,0.7553514195884173,Poorest
2024-08-01,2,TRUE,46106957.9375,0.8202481005029839,2
2024-08-01,3,TRUE,43225448.724365234,0.7930789248630215,3
2024-08-01,4,TRUE,46094592.63183594,0.8307904624447858,4
2024-08-01,5,TRUE,46226094.73730469,0.838809743721992,Richest
2024-09-01,1,TRUE,39625357.05004883,0.7157821042454061,Poorest
2024-09-01,2,TRUE,42816598.72265625,0.7784478875920102,2
2024-09-01,3,TRUE,40478296.092285156,0.7301210515478852,3
2024-09-01,4,TRUE,44549089.428222656,0.8042442561855734,4
2024-09-01,5,TRUE,47508503.62011719,0.8615694381855119,Richest
2024-10-01,1,TRUE,40407243.89013672,0.7566748020507182,Poorest
2024-10-01,2,TRUE,41784114.6640625,0.752115448180476,2
2024-10-01,3,TRUE,41193629.54638672,0.7449182241068785,3
2024-10-01,4,TRUE,43637670.42919922,0.7904590022069846,4
2024-10-01,5,TRUE,47279218.82739258,0.8567857463623201,Richest
2024-11-01,1,TRUE,44856239.092285156,0.814088577725324,Poorest
2024-11-01,2,TRUE,43120136.553222656,0.7780340575351377,2
2024-11-01,3,TRUE,42119012.93359375,0.7522324368036316,3
2024-11-01,4,TRUE,46278066.475097656,0.8473440760915535,4
2024-11-01,5,TRUE,45035108.225097656,0.8162572281446323,Richest
2024-12-01,1,TRUE,41056354.225097656,0.7416798398379936,Poorest
2024-12-01,2,TRUE,40981270.963378906,0.7411955323241994,2
2024-12-01,3,TRUE,45219204.00878906,0.8136527648703028,3
2024-12-01,4,TRUE,45280265.33105469,0.8184376157380384,4
2024-12-01,5,TRUE,44318931.204833984,0.805102899889611,Richest
2025-01-01,1,TRUE,43466558.65625,0.7868094028541719,Poorest
2025-01-01,2,TRUE,42980470.317871094,0.7767346015268729,2
2025-01-01,3,TRUE,45567066.89111328,0.8187362855451364,3
2025-01-01,4,TRUE,46487303.11743164,0.8464873933286086,4
2025-01-01,5,TRUE,46133370.21899414,0.834401136960684,Richest
2025-02-01,1,TRUE,42076808.20043945,0.7510036493011746,Poorest
2025-02-01,2,TRUE,39980917.541015625,0.7239081857195009,2
2025-02-01,3,TRUE,44898489.98876953,0.8185638801699636,3
2025-02-01,4,TRUE,42664449.79003906,0.76920191062691,4
2025-02-01,5,TRUE,43530195.595214844,0.7903560102952883,Richest
2025-03-01,1,TRUE,40930798.1171875,0.7369875317920488,Poorest
2025-03-01,2,TRUE,46822155.72753906,0.8499035728830421,2
2025-03-01,3,TRUE,45085070.247558594,0.8175192550098769,3
2025-03-01,4,TRUE,45812751.87109375,0.8308747126648972,4
2025-03-01,5,TRUE,45526016.31933594,0.8236947749460293,Richest
2025-04-01,1,TRUE,44049615.740234375,0.7942573498050723,Poorest
2025-04-01,2,TRUE,43009679.670410156,0.7801491023581091,2
2025-04-01,3,TRUE,48616898.64794922,0.8500938523178281,3
2025-04-01,4,TRUE,39834361.412109375,0.7417358321761355,4
2025-04-01,5,TRUE,45195811.73388672,0.8204447866274711,Richest
2025-05-01,1,TRUE,40657719.72167969,0.73556489809775,Poorest
2025-05-01,2,TRUE,48914721.107421875,0.8804241835066945,2
2025-05-01,3,TRUE,46624092.935546875,0.8224095635322825,3
2025-05-01,4,TRUE,46709048.60449219,0.869069395432271,4
2025-05-01,5,TRUE,43727061.68652344,0.7914501220249709,Richest
2025-06-01,1,TRUE,42772110.97265625,0.7784155546235506,Poorest
2025-06-01,2,TRUE,45619482.80761719,0.8250428251418531,2
2025-06-01,3,TRUE,44736713.682128906,0.8057319927585196,3
2025-06-01,4,TRUE,44350827.256347656,0.8017394668974648,4
2025-06-01,5,TRUE,44170810.47167969,0.8014298045171354,Richest
2025-07-01,1,TRUE,42636170.630371094,0.7600189168160069,Poorest
2025-07-01,2,TRUE,40182089.84375,0.715445492410363,2
2025-07-01,3,TRUE,45669318.703125,0.8442129190108694,3
2025-07-01,4,TRUE,45414281.29296875,0.8211796851945155,4
2025-07-01,5,TRUE,43008086.46923828,0.782061505610245,Richest
2025-08-01,1,TRUE,38102790.39355469,0.6821872117794489,Poorest
2025-08-01,2,TRUE,39928201.24658203,0.7240017538023967,2
2025-08-01,3,TRUE,41342024.91503906,0.7336736263305583,3
2025-08-01,4,TRUE,43222608.169921875,0.7999698832367808,4
2025-08-01,5,TRUE,46617414.705078125,0.8470022916314958,Richest
2025-09-01,1,TRUE,39138391.84667969,0.7029580798213365,Poorest
2025-09-01,2,TRUE,40106364.88378906,0.7264241223571551,2
2025-09-01,3,TRUE,46784869.60498047,0.8491103685684279,3
2025-09-01,4,TRUE,40822574.423339844,0.7293514856456932,4
2025-09-01,5,TRUE,44187129.35595703,0.8083695157975028,Richest
2025-10-01,1,TRUE,40490265.76660156,0.7216273638743891,Poorest
2025-10-01,2,TRUE,42616092.42578125,0.7757265980708407,2
2025-10-01,3,TRUE,45279013.0546875,0.8194041139074473,3
2025-10-01,4,TRUE,42486743.55566406,0.7568672423662965,4
2025-10-01,5,TRUE,44030267.31298828,0.8140891267700983,Richest
